,text,label
0,Extremely slow kitchen I went hour eat shift told server information well I got canned fruit omelette minute later I boxed left About week later I wa waiting quick hem asked fastest thing could make bagel cream cheese wa answer That took minutes Do n't come time constraints,1
1,I really wanted love toast It 's quaint cozy wa perfect place hop call layover Philadelphia I figured I 'd get latte food The latte wa upwards small I also ordered turkey sausage grilled cheese I believe wa around We sat availed free wifi great perk waiting food came within mins I took bite crunchy grilled cheese wa basically size wonder bread slice wa immediately horrified This grilled cheese turkey sausage fucking abomination I spread sandwich wa ONE slice cheese -- wa dry n't even gooey sticky Also wa ONE turkey sausage link wa sliced half spread diagonally across sandwich I would say approximately sandwich wa turkey-less The server happened nearby boyfriend said something grilled cheese cheese ... happily took back made new one cheese amount turkey sausage It wa nice gesture honestly 's highway robbery serve sandwich charge At sandwich cost make ... I 'm including side salad greens Overall toast need step game A little le stingy cheese Some small tweak menu slightly reasonable prices place would great,1
2,First brunch experience Philly actually entire life oh man I see brunch thing My friend I initially planned Green Eggs Café would wait minute table came instead Not waitress seat u quickly place also provided toasty ambience No pun intended I ordered plate special egg toast two poached egg served atop homemade split English muffin smoked salmon asaparagus side I opted Hollandaise sauce O-M-G While I n't get runny yolk porn experience bite wa delicious sensation salty savory Also English muffin wa point chewy carb-y I definitely recommend place nice brunch minus terribly long line,1
3,Coffee great I live close 's convenient I 've handful time eaten twice Their homemade English muffin delish I mine jam I 've also avocado toast It 's poached egg homemade bread alfalfa sprout plenty avocado side It come side salad well It 's really good heavy alfalfa sprouts I took wa fine Their setup nice windows plenty seating even handful plug want work I appreciate Their service leaf something desired though Weekdays counter service understandable people work coffee probably n't want bothered still attention would nice I find utensil etc girl counter completely forgot I wa one wa waiting food minutes I 'm good customer service wa little disappointing I still go coffee pastries For neighborhood ha ton coffee shop one pretty good,1
4,My family I found hidden gem looking place park get breakfast traveling day We loved everything The space cute The food wa amazing The juice coffee nice fresh We impressed Alex guy took order counter delivered food table also cleared table seem keep line counter moving pretty fast He manage different job efficiently smile great personality When area sure visit,1
5,So many great thing say place They open early That 's first draw need get work done day starts They great drink food really good Plenty space sit huge window look outside work Perfect ambience light music soothing distracting The staff wa incredibly friendly responsive Absolutely nothing complain I hope place stick around long time Oh also bring food drink So order sit set work chat friend without stand line would line quick,1
6,.. I wanted love place ... I stopped brunch found roaming I wa excited omelette day receive The staff wa friendly tea wa good The omelette wa tasty Not sure wa lack technique cooking lack seasoning spinach tasted really bad Food 2/5 Service 4/5 Location 4/5 Super cure place Nice chill,1
7,The coffee better hear option area I actually walk way get iced latte The food pretty darn tasty,1
8,Toast wa good breakfast want something hearty filling There egg toast pretty much egg Benedict good many different forms I egg toast avocado wife one salmon I 'm huge fish guy said wa good,1
9,Great Location Love vibe food love service highly recommended,1
10,Toast comfortable artistic environment good food affordable prices You spend home made English muffin coffee go larger plate My chia tea wa brewed site instead mix hooray exceptionally creamy My truffled egg sandwich wa right portion fresh salad side strawberries They huge window flood space light The decor cosy meet sculptural mismatched pillow modern artistic lighting Our check came delightfully attached giant clothespin It wa early I went wa crowd staff wa friendly fast,1
11,I stopped Toast way work use pc decided try egg benedict wa hungry time kill .... What surprise This wa far best EB '' 's I 've city far They use real baked ham wonderful salad rather usual home fry side .. Ive back many time since disappointed yet A+ p english muffin home made boot,1
12,Toast ok. My goat cheese tomato spinach omelet wa actually pretty good coffee wa pretty good I hummus plate hummus wa pretty good But 's kind expensive although 's pretty good 's great Which whole thing It 's fine There 's nothing wrong 's exciting way I wa kind pissed would n't make kid plain omelette though clearly capable Weird Nice space,1
13,Really n't see vegan item menu Soy milk n't even listed option board I got decent soy cappuccino I better I n't need go,1
14,The Toast town,1
15,NOISE Good food OK coffee moderate price much noisy terrible heating/AC system enjoy peaceful meal,1
16,Fantastic time Toast The omelet day spinach goat cheese Capri tomatoes -- Yum Spritzers fab perfect quencher warm day I also bowl fresh fruit unlike cafés fruit wa FRESH It n't fridge dying icy death perfect strawberries blueberries blackberry banana My kid x 13y 24y gal pal 13y ate everything plate want return Above service wa wonderful,1
